
Algorithm: 1

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.32              0.30              0.33        1000              0.25              0.58              0.66
2                       0.32              0.31              0.33        1000              0.26              0.56              0.62
4                       0.34              0.34              0.35        1000              0.26              0.58              0.61
8                       0.31              0.31              0.32        1000              0.26              0.51              0.61
16                      0.38              0.38              0.39        1000              0.39              0.56              0.59
32                      0.54              0.46              0.65        1000              0.39              1.07              1.18
64                      0.51              0.42              0.62        1000              0.45              0.90              0.95
128                     1.03              0.85              1.37        1000              1.01              1.25              1.38
256                     1.10              0.90              1.44        1000              1.07              1.41              1.58
512                     1.27              1.00              1.69        1000              1.24              1.61              1.82
1024                    1.59              1.30              2.15        1000              1.52              2.00              2.27
2048                    2.44              2.14              3.27        1000              2.43              2.86              3.05
4096                    3.47              3.05              4.52        1000              3.44              3.80              3.93
8192                    5.93              5.08              7.77        1000              5.89              6.29              6.64
16384                   7.52              6.23              8.65         100              7.38             10.29             10.82
32768                  12.38             11.59             13.50         100             12.11             15.21             16.28
65536                  18.76             17.88             20.38         100             18.48             23.06             24.90
131072                 35.77             34.27             38.09         100             34.64             44.99             48.59
262144                 67.81             64.40             71.36         100             65.37             87.80             97.58
524288                145.95            139.74            152.10         100            143.01            180.29            198.30
1048576               333.53            320.83            343.76         100            332.03            389.75            406.41

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.31              0.30              0.33        1000              0.26              0.58              0.64
2                       0.32              0.31              0.33        1000              0.26              0.55              0.60
4                       0.33              0.32              0.34        1000              0.28              0.55              0.61
8                       0.32              0.31              0.33        1000              0.26              0.55              0.58
16                      0.34              0.34              0.35        1000              0.36              0.50              0.60
32                      0.57              0.47              0.68        1000              0.50              0.97              1.16
64                      0.52              0.45              0.63        1000              0.47              0.92              1.04
128                     1.01              0.83              1.38        1000              0.98              1.22              1.42
256                     1.09              0.88              1.45        1000              1.07              1.28              1.47
512                     1.26              0.99              1.71        1000              1.25              1.53              1.69
1024                    1.55              1.24              2.10        1000              1.51              1.87              2.14
2048                    2.38              2.07              3.24        1000              2.38              2.72              2.89
4096                    3.47              2.99              4.57        1000              3.42              3.78              4.01
8192                    5.84              4.97              7.73        1000              5.83              6.12              6.39
16384                   8.52              7.68              9.48         100              8.03             11.63             16.85
32768                  12.40             11.24             13.43         100             12.28             14.79             15.45
65536                  20.16             17.90             21.70         100             20.02             24.41             28.54
131072                 35.82             33.19             37.98         100             34.79             44.10             47.07
262144                 72.01             68.16             75.07         100             71.12             91.86            103.68
524288                141.63            137.52            146.79         100            140.28            180.33            195.77
1048576               308.42            304.00            315.96         100            306.09            366.87            402.91

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.34              0.32              0.34        1000              0.26              0.58              0.66
2                       0.32              0.29              0.34        1000              0.25              0.56              0.63
4                       0.34              0.32              0.36        1000              0.27              0.56              0.61
8                       0.33              0.32              0.35        1000              0.27              0.55              0.59
16                      0.35              0.35              0.36        1000              0.37              0.55              0.61
32                      0.63              0.53              0.77        1000              0.59              1.13              1.21
64                      0.58              0.47              0.72        1000              0.57              0.94              1.01
128                     1.00              0.81              1.33        1000              0.97              1.16              1.36
256                     1.08              0.86              1.47        1000              1.05              1.26              1.51
512                     1.29              1.00              1.77        1000              1.26              1.53              1.64
1024                    1.48              1.20              2.03        1000              1.45              1.77              1.95
2048                    2.38              2.08              3.22        1000              2.40              2.72              2.90
4096                    3.67              3.19              4.85        1000              3.65              4.08              4.27
8192                    5.89              5.08              7.76        1000              5.86              6.20              6.67
16384                   8.05              6.54              9.35         100              7.74             11.29             16.46
32768                  11.79             11.09             12.98         100             10.95             15.82             17.39
65536                  19.20             18.28             20.97         100             18.91             25.07             25.55
131072                 37.03             35.47             39.77         100             35.69             47.01             48.66
262144                 69.49             67.29             73.34         100             66.56             87.13             88.80
524288                157.22            152.79            162.41         100            152.36            204.13            205.81
1048576               345.60            325.39            356.30         100            345.30            407.97            416.12

Procs: 6

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.61              0.60              0.62        1000              0.58              0.84              0.90
2                       0.63              0.62              0.64        1000              0.60              0.78              0.82
4                       0.63              0.62              0.65        1000              0.60              0.76              0.81
8                       0.69              0.64              0.76        1000              0.60              0.76              0.83
16                      0.63              0.62              0.65        1000              0.60              0.77              0.83
32                      0.90              0.79              1.04        1000              0.89              1.32              1.44
64                      0.90              0.79              1.04        1000              0.87              1.18              1.34
128                     1.60              1.15              2.19        1000              1.56              1.84              1.95
256                     1.64              1.16              2.25        1000              1.60              1.88              2.08
512                     1.85              1.29              2.53        1000              1.80              2.16              2.41
1024                    2.25              1.56              3.13        1000              2.21              2.71              2.97
2048                    3.44              2.39              4.79        1000              3.45              3.82              3.99
4096                    4.73              3.18              6.58        1000              4.69              5.13              5.38
8192                    7.81              5.08             11.07        1000              7.78              8.13              8.62
16384                  10.33              6.93             12.94         100             10.33             13.50             14.68
32768                  16.83             11.10             20.32         100             16.59             20.71             22.37
65536                  32.53             25.53             36.80         100             32.08             39.70             42.32
131072                 65.18             53.56             70.44         100             64.38             74.86             76.87
262144                131.33            121.21            137.65         100            129.39            151.79            155.77
524288                264.38            252.74            273.26         100            260.48            318.23            328.02
1048576               463.93            421.12            497.74         100            466.20            545.08            569.03

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.62              0.61              0.64        1000              0.59              0.83              0.90
2                       0.64              0.63              0.66        1000              0.61              0.78              0.87
4                       0.68              0.62              0.77        1000              0.60              0.78              0.84
8                       0.64              0.62              0.66        1000              0.62              0.75              0.90
16                      0.63              0.62              0.66        1000              0.60              0.74              0.78
32                      0.96              0.84              1.05        1000              0.99              1.21              1.45
64                      0.93              0.82              1.05        1000              0.89              1.14              1.30
128                     1.59              1.18              2.12        1000              1.54              1.85              2.05
256                     1.64              1.18              2.22        1000              1.60              1.90              2.11
512                     1.85              1.31              2.54        1000              1.80              2.20              2.49
1024                    2.26              1.56              3.12        1000              2.23              2.60              2.91
2048                    3.41              2.39              4.77        1000              3.39              3.82              4.08
4096                    5.07              3.38              7.06        1000              5.04              5.49              5.70
8192                    7.60              5.09             10.60        1000              7.56              7.91              8.80
16384                  10.57              6.63             13.15         100             10.23             13.63             17.94
32768                  17.11             10.86             20.49         100             17.12             21.25             22.30
65536                  32.62             22.59             37.01         100             32.30             39.06             42.88
131072                 66.39             55.24             71.43         100             66.46             76.30             79.57
262144                132.90            121.95            139.05         100            131.95            150.74            162.44
524288                257.25            244.12            264.00         100            254.32            299.32            309.67
1048576               408.87            369.86            446.23         100            406.07            501.01            530.08

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.62              0.61              0.64        1000              0.59              0.83              0.93
2                       0.64              0.63              0.65        1000              0.60              0.78              0.84
4                       0.62              0.61              0.65        1000              0.61              0.73              0.77
8                       0.63              0.62              0.64        1000              0.60              0.75              0.78
16                      0.63              0.62              0.65        1000              0.60              0.75              0.82
32                      0.93              0.79              1.06        1000              0.91              1.26              1.44
64                      0.88              0.78              1.01        1000              0.80              1.26              1.36
128                     1.58              1.14              2.15        1000              1.53              1.78              1.97
256                     1.64              1.19              2.23        1000              1.60              1.87              2.07
512                     1.87              1.26              2.60        1000              1.83              2.19              2.40
1024                    2.29              1.59              3.15        1000              2.24              2.73              2.96
2048                    3.41              2.38              4.76        1000              3.40              3.81              4.06
4096                    5.07              3.36              7.08        1000              5.02              5.44              5.77
8192                    7.69              5.02             10.83        1000              7.67              8.08              8.38
16384                  10.83              7.89             13.38         100             10.64             14.33             14.96
32768                  17.98             12.62             21.29         100             17.51             22.84             25.41
65536                  33.50             25.47             38.01         100             33.61             39.77             40.98
131072                 68.30             58.93             73.73         100             66.82             81.50             87.83
262144                135.22            125.40            142.02         100            134.41            159.78            166.61
524288                267.72            255.94            275.89         100            263.28            323.91            360.50
1048576               427.69            388.63            463.50         100            418.15            545.17            557.40

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.60              0.59              0.62        1000              0.58              0.85              0.88
2                       0.62              0.60              0.64        1000              0.59              0.76              0.82
4                       0.63              0.62              0.65        1000              0.59              0.76              0.82
8                       0.77              0.74              0.83        1000              0.60              0.74              0.83
16                      0.62              0.60              0.64        1000              0.60              0.73              0.78
32                      0.90              0.76              1.02        1000              0.88              1.30              1.46
64                      0.95              0.83              1.06        1000              0.89              1.25              1.44
128                     1.56              1.12              2.14        1000              1.53              1.76              1.89
256                     1.63              1.17              2.23        1000              1.59              1.85              2.08
512                     1.84              1.27              2.52        1000              1.79              2.15              2.49
1024                    2.28              1.58              3.16        1000              2.23              2.62              2.93
2048                    3.43              2.38              4.80        1000              3.42              3.80              4.06
4096                    5.10              3.36              7.10        1000              5.06              5.49              5.80
8192                    7.61              5.04             10.60        1000              7.57              7.93              8.30
16384                  10.79              7.85             13.31         100             10.23             14.55             16.22
32768                  17.55             12.82             21.02         100             17.34             22.64             25.47
65536                  32.93             27.90             37.41         100             32.34             40.63             45.46
131072                 53.32             38.26             62.02         100             52.39             64.51             67.88
262144                103.21             79.38            121.02         100            101.59            125.27            138.93
524288                221.30            170.56            248.78         100            216.94            266.97            284.26
1048576               411.83            358.24            460.51         100            409.93            498.80            527.08

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.64              0.63              0.66        1000              0.60              0.91              0.93
2                       0.64              0.63              0.66        1000              0.61              0.82              0.85
4                       0.64              0.63              0.67        1000              0.61              0.78              0.83
8                       0.66              0.64              0.68        1000              0.62              0.80              0.89
16                      0.64              0.63              0.67        1000              0.62              0.75              0.80
32                      0.95              0.80              1.10        1000              0.86              1.22              1.57
64                      0.86              0.76              0.99        1000              0.79              1.18              1.42
128                     1.57              1.13              2.15        1000              1.55              1.80              1.94
256                     1.66              1.24              2.24        1000              1.61              1.86              2.13
512                     1.86              1.29              2.56        1000              1.83              2.20              2.39
1024                    2.30              1.59              3.17        1000              2.26              2.66              2.89
2048                    3.46              2.40              4.83        1000              3.41              3.85              4.08
4096                    5.01              3.29              7.04        1000              4.97              5.38              5.71
8192                    8.07              5.28             11.37        1000              8.04              8.38              9.02
16384                  10.05              6.43             12.56         100              9.89             13.22             13.91
32768                  16.97             10.85             20.58         100             17.02             21.15             23.52
65536                  31.88             23.70             36.78         100             31.04             38.46             42.65
131072                 65.82             52.38             71.72         100             64.75             78.08             81.43
262144                130.83            120.93            137.31         100            127.73            151.81            163.69
524288                266.17            250.31            275.14         100            260.91            312.70            332.65
1048576               470.82            422.14            509.73         100            469.56            560.55            607.05

Procs: 8

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.78              0.70              0.85        1000              0.74              0.92              1.00
2                       0.80              0.75              0.88        1000              0.77              0.94              1.02
4                       0.86              0.78              0.94        1000              0.83              1.00              1.08
8                       0.93              0.84              1.00        1000              0.90              1.07              1.15
16                      0.97              0.90              1.05        1000              0.95              1.12              1.20
32                      1.35              1.20              1.52        1000              1.30              1.55              1.66
